id,city_name,state_initials,state_region
2800100,Amparo de São Francisco,SE,Nordeste
2800209,Aquidabã,SE,Nordeste
2800308,Aracaju,SE,Nordeste
2800407,Arauá,SE,Nordeste
2800506,Areia Branca,SE,Nordeste
2800605,Barra dos Coqueiros,SE,Nordeste
2800670,Boquim,SE,Nordeste
2800704,Brejo Grande,SE,Nordeste
2801009,Campo do Brito,SE,Nordeste
2801108,Canhoba,SE,Nordeste
2801207,Canindé de São Francisco,SE,Nordeste
2801306,Capela,SE,Nordeste
2801405,Carira,SE,Nordeste
2801504,Carmópolis,SE,Nordeste
2801603,Cedro de São João,SE,Nordeste
2801702,Cristinápolis,SE,Nordeste
2801900,Cumbe,SE,Nordeste
2802007,Divina Pastora,SE,Nordeste
2802106,Estância,SE,Nordeste
2802205,Feira Nova,SE,Nordeste
2802304,Frei Paulo,SE,Nordeste
2802403,Gararu,SE,Nordeste
2802502,General Maynard,SE,Nordeste
2802601,Gracho Cardoso,SE,Nordeste
2802700,Ilha das Flores,SE,Nordeste
2802809,Indiaroba,SE,Nordeste
2802908,Itabaiana,SE,Nordeste
2803005,Itabaianinha,SE,Nordeste
2803104,Itabi,SE,Nordeste
2803203,Itaporanga dAjuda,SE,Nordeste
2803302,Japaratuba,SE,Nordeste
2803401,Japoatã,SE,Nordeste
2803500,Lagarto,SE,Nordeste
2803609,Laranjeiras,SE,Nordeste
2803708,Macambira,SE,Nordeste
2803807,Malhada dos Bois,SE,Nordeste
2803906,Malhador,SE,Nordeste
2804003,Maruim,SE,Nordeste
2804102,Moita Bonita,SE,Nordeste
2804201,Monte Alegre de Sergipe,SE,Nordeste
2804300,Muribeca,SE,Nordeste
2804409,Neópolis,SE,Nordeste
2804458,Nossa Senhora Aparecida,SE,Nordeste
2804508,Nossa Senhora da Glória,SE,Nordeste
2804607,Nossa Senhora das Dores,SE,Nordeste
2804706,Nossa Senhora de Lourdes,SE,Nordeste
2804805,Nossa Senhora do Socorro,SE,Nordeste
2804904,Pacatuba,SE,Nordeste
2805000,Pedra Mole,SE,Nordeste
2805109,Pedrinhas,SE,Nordeste
2805208,Pinhão,SE,Nordeste
2805307,Pirambu,SE,Nordeste
2805406,Poço Redondo,SE,Nordeste
2805505,Poço Verde,SE,Nordeste
2805604,Porto da Folha,SE,Nordeste
2805703,Propriá,SE,Nordeste
2805802,Riachão do Dantas,SE,Nordeste
2805901,Riachuelo,SE,Nordeste
2806008,Ribeirópolis,SE,Nordeste
2806107,Rosário do Catete,SE,Nordeste
2806206,Salgado,SE,Nordeste
2806305,Santa Luzia do Itanhy,SE,Nordeste
2806503,Santa Rosa de Lima,SE,Nordeste
2806404,Santana do São Francisco,SE,Nordeste
2806602,Santo Amaro das Brotas,SE,Nordeste
2806701,São Cristóvão,SE,Nordeste
2806800,São Domingos,SE,Nordeste
2806909,São Francisco,SE,Nordeste
2807006,São Miguel do Aleixo,SE,Nordeste
2807105,Simão Dias,SE,Nordeste
2807204,Siriri,SE,Nordeste
2807303,Telha,SE,Nordeste
2807402,Tobias Barreto,SE,Nordeste
2807501,Tomar do Geru,SE,Nordeste
2807600,Umbaúba,SE,Nordeste
