"SIGLA UF","CODIGO UF","CODIGO MUNICIPIO","MUNICIPIO","POPULACAO"
"RO","11","00015","Alta Floresta D'Oeste","23,857"
"RO","11","00379","Alto Alegre dos Parecis","11,615"
"RO","11","00403","Alto Paraíso","16,758"
"RO","11","00346","Alvorada D'Oeste","16,485"
"RO","11","00023","Ariquemes","82,388"
"RO","11","00452","Buritis","33,072"
"RO","11","00031","Cabixi","6,575"
"RO","11","00601","Cacaulândia","5,553"
"RO","11","00049","Cacoal","76,155"
"RO","11","00700","Campo Novo de Rondônia","12,455"
"RO","11","00809","Candeias do Jamari","16,736"
"RO","11","00908","Castanheiras","3,624"
"RO","11","00056","Cerejeiras","16,290"
"RO","11","00924","Chupinguaia","7,456"
"RO","11","00064","Colorado do Oeste","17,644"
"RO","11","00072","Corumbiara","9,476"
"RO","11","00080","Costa Marques","13,664"
"RO","11","00940","Cujubim","13,857"
"RO","11","00098","Espigão D'Oeste","27,867"
"RO","11","01005","Governador Jorge Teixeira","11,432"
"RO","11","00106","Guajará-Mirim","39,451"
"RO","11","01104","Itapuã do Oeste","7,905"
"RO","11","00114","Jaru","52,453"
"RO","11","00122","Ji-Paraná","107,679"
"RO","11","00130","Machadinho D'Oeste","31,475"
"RO","11","01203","Ministro Andreazza","10,343"
"RO","11","01302","Mirante da Serra","12,086"
"RO","11","01401","Monte Negro","12,357"
"RO","11","00148","Nova Brasilândia D'Oeste","17,170"
"RO","11","00338","Nova Mamoré","21,162"
"RO","11","01435","Nova União","7,750"
"RO","11","00502","Novo Horizonte do Oeste","9,648"
"RO","11","00155","Ouro Preto do Oeste","36,040"
"RO","11","01450","Parecis","4,583"
"RO","11","00189","Pimenta Bueno","32,893"
"RO","11","01468","Pimenteiras do Oeste","2,358"
"RO","11","00205","Porto Velho","369,345"
"RO","11","00254","Presidente Médici","22,197"
"RO","11","01476","Primavera de Rondônia","3,704"
"RO","11","00262","Rio Crespo","3,174"
"RO","11","00288","Rolim de Moura","48,894"
"RO","11","00296","Santa Luzia D'Oeste","9,264"
"RO","11","01484","São Felipe D'Oeste","6,286"
"RO","11","01492","São Francisco do Guaporé","15,710"
"RO","11","00320","São Miguel do Guaporé","22,622"
"RO","11","01500","Seringueiras","11,757"
"RO","11","01559","Teixeirópolis","4,919"
"RO","11","01609","Theobroma","9,952"
"RO","11","01708","Urupá","13,381"
"RO","11","01757","Vale do Anari","8,751"
"RO","11","01807","Vale do Paraíso","8,742"
"RO","11","00304","Vilhena","66,746"
"AC","12","00013","Acrelândia","11,520"
"AC","12","00054","Assis Brasil","5,351"
"AC","12","00104","Brasiléia","19,065"
"AC","12","00138","Bujari","6,543"
"AC","12","00179","Capixaba","8,446"
"AC","12","00203","Cruzeiro do Sul","73,948"
"AC","12","00252","Epitaciolândia","13,434"
"AC","12","00302","Feijó","31,288"
"AC","12","00328","Jordão","6,059"
"AC","12","00336","Mâncio Lima","13,785"
"AC","12","00344","Manoel Urbano","7,148"
"AC","12","00351","Marechal Thaumaturgo","13,061"
"AC","12","00385","Plácido de Castro","17,258"
"AC","12","00807","Porto Acre","13,716"
"AC","12","00393","Porto Walter","8,170"
"AC","12","00401","Rio Branco","290,639"
"AC","12","00427","Rodrigues Alves","12,428"
"AC","12","00435","Santa Rosa do Purus","3,948"
"AC","12","00500","Sena Madureira","34,230"
"AC","12","00450","Senador Guiomard","18,863"
"AC","12","00609","Tarauacá","32,171"
"AC","12","00708","Xapuri","14,314"
"AM","13","00029","Alvarães","13,010"
"AM","13","00060","Amaturá","8,384"
"AM","13","00086","Anamã","8,152"
"AM","13","00102","Anori","13,834"
"AM","13","00144","Apuí","17,451"
"AM","13","00201","Atalaia do Norte","13,682"
"AM","13","00300","Autazes","29,907"
"AM","13","00409","Barcelos","24,567"
"AM","13","00508","Barreirinha","26,645"
"AM","13","00607","Benjamin Constant","29,268"
"AM","13","00631","Beruri","13,809"
"AM","13","00680","Boa Vista do Ramos","13,138"
"AM","13","00706","Boca do Acre","29,818"
"AM","13","00805","Borba","31,098"
"AM","13","00839","Caapiranga","10,547"
"AM","13","00904","Canutama","11,463"
"AM","13","01001","Carauari","25,110"
"AM","13","01100","Careiro","31,070"
"AM","13","01159","Careiro da Várzea","23,023"
"AM","13","01209","Coari","65,222"
"AM","13","01308","Codajás","16,025"
"AM","13","01407","Eirunepé","29,411"
"AM","13","01506","Envira","16,438"
"AM","13","01605","Fonte Boa","19,726"
"AM","13","01654","Guajará","14,102"
"AM","13","01704","Humaitá","38,559"
"AM","13","01803","Ipixuna","17,177"
"AM","13","01852","Iranduba","32,869"
"AM","13","01902","Itacoatiara","84,676"
"AM","13","01951","Itamarati","8,078"
"AM","13","02009","Itapiranga","9,141"
"AM","13","02108","Japurá","5,281"
"AM","13","02207","Juruá","8,658"
"AM","13","02306","Jutaí","17,129"
"AM","13","02405","Lábrea","36,909"
"AM","13","02504","Manacapuru","82,309"
